"musica";"musica_parecida";"nivel_de_similaridade"
"All The Stars (with SZA) - Kendrick Lamar, SZA";"Lovin On Me";89,9886282349469
"Please Please Please - Sabrina Carpenter";"Pink Pony Club";89,9308784791582
"Please Please Please - Sabrina Carpenter";"Pink Pony Club";89,9308784791582
"A Bar Song (Tipsy) - Shaboozey";"PIToRRO DE COCO";89,8864063712133
"Loco - Neton Vega";"MILLION DOLLAR BABY";89,8642769521695
"Abracadabra - Lady Gaga";"Espresso";89,8036386420738
"MILLION DOLLAR BABY - Tommy Richman";"A Bar Song (Tipsy)";89,7972212105225
"Lose Control - Teddy Swims";"EL CLúB";89,7671216642323
"Lose Control - Teddy Swims";"EL CLúB";89,7671216642323
"NIGHTS LIKE THIS - The Kid LAROI";"Pink Skies";89,7632266249504
"Loco - Neton Vega";"All The Stars (with SZA)";89,7419185282726
"Please Please Please - Sabrina Carpenter";"Messy";89,7260663402688
"Pink Skies - Zach Bryan";"BIRDS OF A FEATHER";89,6914002252168
"End of Beginning - Djo";"Bed Chem";89,68230514134
"I'm The Problem - Morgan Wallen";"Saturn";89,6584251925095
"Sports car - Tate McRae";"End of Beginning";89,639567986987
"A Bar Song (Tipsy) - Shaboozey";"End of Beginning";89,631398384444
"Saturn - SZA";"EL CLúB";89,6046019993873
"Saturn - SZA";"EL CLúB";89,6046019993873
"Love Somebody - Morgan Wallen";"Abracadabra";89,5336379938667
"Scorsese Baby Daddy - SZA";"Bed Chem";89,5100947651562
"Bed Chem - Sabrina Carpenter";"BIRDS OF A FEATHER";89,4765660003462
"Lovin On Me - Jack Harlow";"Loco";89,467751705552
"BIRDS OF A FEATHER - Billie Eilish";"Pink Skies";89,4139799935257
"Bed Chem - Sabrina Carpenter";"MILLION DOLLAR BABY";89,4042169366197
"Who - Jimin";"HOT TO GO!";89,3899700426291
"Who - Jimin";"HOT TO GO!";89,3899700426291
"Lovin On Me - Jack Harlow";"All The Stars (with SZA)";89,3742685764684
